,Title,1st_topic,1st_topic_percentage,2nd_topic,2nd_topic_percentage
42,Attacks on Health Workers during COVID-19 Pandemic-Data Exploration and News Article Detection using NLP and GRU model,5.0,25.31,6.0,18.45
43,Students Online Exam Proctoring: A Case Study Using 360 Degree Security Cameras,0.0,31.19,3.0,24.7
44,Uncovered User Engagement Pattern in LMS during COVID-19 Pandemic Using Temporal Visualization Matrix,0.0,35.21,5.0,18.9
45,"A modular framework for multiscale, multicellular, spatiotemporal modeling of acute primary viral infection and immune response in epithelial tissues and its application to drug therapy timing and effectiveness",2.0,52.15,4.0,14.02
46,An Internet of Robotic Things System for combating coronavirus disease pandemic(COVID-19),3.0,37.54,4.0,19.14
47,Vision-based Approach for Automated Social Distance Violators Detection,1.0,23.71,3.0,23.35
48,Barriers to the Adoption of Technology in Learning and Assessment of Undergraduate Architecture Students,0.0,33.24,6.0,18.17
49,Elastic Net to Forecast COVID-19 Cases,1.0,21.63,4.0,20.18
50,Product Review Sentiment Analysis by Using NLP and Machine Learning in Bangla Language,6.0,21.09,5.0,21.07
51,Nearest Blood Plasma Donor Finding: A Machine Learning Approach,3.0,19.95,2.0,18.47
52,Forecasting Severity Analysis of COVID-19 Using Machine Learning Approach with Advanced Data Visualization,4.0,20.82,5.0,20.52
53,Detection of COVID 19 from CT Image by the Novel LeNet-5 CNN Architecture,1.0,50.27,4.0,12.66
54,Combating Domestic Violence during COVID-19 Pandemic in Bangladesh: Using a Mobile Application integrated with an Effective Solution,3.0,27.25,5.0,19.34
55,Autonomous Deblurring Images and Information Extraction from Documents Using CycleGAN and Mask RCNN,1.0,31.98,5.0,23.7
56,Ensemble learning-based COVID-19 detection by feature boosting in chest X-ray images,1.0,49.83,4.0,11.99
57,Maskhunter: Real-time object detection of face masks during the COVID-19 pandemic,1.0,42.6,0.0,13.14
58,Development of Smart e-Health System for Covid-19 Pandemic,3.0,32.63,6.0,14.15
59,Predicting the Probability of Covid-19 Recovered in South Asian Countries Based on Healthy Diet Pattern Using a Machine Learning Approach,4.0,26.07,1.0,20.57
60,Effect of E-Commerce on Mitigating Panic-Shopping in China vs. U.S.,6.0,33.23,5.0,17.34
61,Inclusive Development Using Connected Devices and Data Analysis,3.0,27.77,6.0,23.3
62,Mortality Prediction of COVID-19 Pandemic Using Artificial Intelligence,1.0,21.71,3.0,17.86
63,Data Analysis and Detection of Coronavirus Disease using Convolution Neural Network,4.0,33.5,1.0,24.84
64,Analysis and Prediction of COVID-19 Pandemic in India,4.0,50.66,6.0,10.38
65,Joint optimization of CycleGAN and CNN classifier for COVID-19 detection and biomarker localization,1.0,52.62,2.0,10.41
66,H3DNN: 3D Deep Learning Based Detection of COVID-19 Virus using Lungs Computed Tomography,1.0,51.37,2.0,9.33
67,Early Detection of Covid-19 Disease using Computed Tomography Images and Optimized CNN-LSTM,1.0,50.95,4.0,14.68
68,Investigating online summer practice during the pandemic: A case study of a chinese university,0.0,50.61,6.0,9.88
69,Satisfaction of university students in virtual education in a COVID-19 scenario,0.0,34.29,6.0,19.53
70,Portraying students' challenges and expectations toward online learning in embracing industrial revolution 4.0 Era: A case in ELT in the COVID-19 Outbreak,0.0,48.05,6.0,13.93
71,Three-tier diagnostic test: What is the profile of biological misconceptions in high school students during Covid-19?,0.0,31.35,5.0,20.25
72,Transformative process of redefining language curriculum post pandemic Covid-19 in higher education,0.0,41.55,6.0,16.84
73,An outcome-based framework for the design and delivery of real-time virtual courses that incorporate active learning,0.0,41.91,3.0,14.06
74,A comparative study of CNN transfer learning classification algorithms with segmentation for COVID-19 detection from CT scan images,1.0,54.1,4.0,11.38
75,A patient centric agent assisted private blockchain on hyperledger fabric for managing remote patient monitoring,3.0,50.76,5.0,14.69
76,Machine learning to predict COVID-19 and ICU requirement,1.0,36.23,4.0,19.63
77,Effect of Covid-19 and lock-down on the electricity sector in Bangladesh,6.0,32.8,4.0,18.18
78,A wavelet-CNN feature fusion approach for detecting COVID-19 from chest radiographs,1.0,52.07,3.0,12.26
79,COVID-19 detection from chest X-Ray images using ensemble of CNN models,1.0,44.17,4.0,16.2
80,Quick learn approach for load forecasting during COVID 19 lockdown,4.0,20.33,6.0,19.22
81,Experience of indian electricity market operation and other events during COVID-19 pandemic,6.0,33.86,3.0,22.56
82,Monitoring Self-isolation Patient of COVID-19 with Internet of Things,3.0,53.6,5.0,15.88
83,"Your Smart Speaker Can ""hear"" Your Heartbeat!",3.0,26.79,1.0,26.35
84,Digital Gender Divide in Online Education during Covid-19 Lockdown in India,0.0,31.76,6.0,28.85
85,Covid-19 Pandemic: A New Era of Cyber Security Threat and Holistic Approach to Overcome,6.0,24.83,3.0,20.34
86,Security Testing of Android Based Covid Tracer Applications,3.0,26.75,2.0,16.31
87,Analyzing students' online presence in undergraduate courses using Clustering,0.0,40.03,5.0,18.56
88,CRI: Measuring City Infection Risk amid COVID-19,4.0,32.45,3.0,15.36
89,Transfer Learning from Pneumonia to COVID-19,1.0,36.01,3.0,12.9
90,A Smart Early Warning System for Disease Outbreak with a Case Study of COVID-19 in India,3.0,22.64,4.0,20.96
91,Interpretable Sentiment Analysis based on Deep Learning: An overview,5.0,34.06,6.0,17.5
92,"A Fast, Automatic Risk Detector for COVID-19",1.0,33.91,4.0,16.19
93,Big data privacy breach prevention strategies,5.0,30.2,3.0,21.9
94,Intelligent load balancing techniques in software defined networks: A systematic review,3.0,34.59,1.0,15.45
95,Deep Networks Based Classification of COVID-19 Chest X-Ray Images,1.0,56.3,3.0,8.42
96,A Robust Technique for Detecting SARS-CoV-2 from X-Ray Image using 2D Convolutional Neural Network and Particle Swarm Optimization,1.0,41.18,5.0,13.95
97,A simplified model of the Human Immune System response to the COVID-19,2.0,30.35,4.0,24.63
98,An Improved SEIR Model for Reconstructing the Dynamic Transmission of COVID-19,4.0,41.67,1.0,11.38
99,Predicting Drugs for COVID-19/SARS-CoV-2 via Heterogeneous Graph Attention Networks,2.0,31.72,5.0,21.02
100,Consumer Demand Modeling during COVID-19 Pandemic,6.0,38.87,4.0,17.85
101,Medical Transdisciplinary Cluster Development for Multivariable COVID-19 Epidemiological Situation Modeling,5.0,23.98,3.0,16.37
102,Network-based gene prediction for TCM symptoms,2.0,31.7,1.0,19.4
103,Assessing the Impact of Government Interventions on the Spread of COVID-19 with Dynamic Epidemic Models: A case study of Texas,4.0,48.48,6.0,11.03
104,Enhancing Automated COVID-19 Chest X-ray Diagnosis by Image-to-Image GAN Translation,1.0,59.2,5.0,11.65
105,Drug Repositioning for SARS-CoV-2 Based on Graph Neural Network,2.0,41.12,1.0,17.24
106,A data capture model and its associate study on the public web published COVID-19 data,4.0,43.6,5.0,20.11
107,Cloud-based biomedical system for remote monitoring of ALS patients,3.0,30.59,5.0,16.69
108,Cascade SEIRD: Forecasting the Spread of COVID-19 with Dynamic Parameters Update,4.0,45.7,1.0,15.12
109,Generating Novel Compounds Targeting SARS-CoV-2 Main Protease Based on Imbalanced Dataset,2.0,41.81,1.0,22.95
110,Inferring Drug-Target Interactions Using Graph Isomorphic Network and Word Vector Matrix,1.0,30.74,2.0,23.59
111,Cortical tonic GABAergic inhibition - Preliminary insights from MR Spectroscopy of subacute stroke,2.0,27.51,4.0,15.65
112,A method to assess COVID-19 infected numbers in Italy during peak pandemic period,4.0,30.2,2.0,14.29
113,Efficient Cryo-Electron Tomogram Simulation of Macromolecular Crowding with Application to SARS-CoV-2,2.0,27.61,1.0,26.85
114,COVID-MobileXpert: On-Device COVID-19 Patient Triage and Follow-up using Chest X-rays,1.0,46.36,3.0,15.5
115,DeepCOVIDExplainer: Explainable COVID-19 Diagnosis from Chest X-ray Images,1.0,47.48,5.0,11.04
116,OptSelect: An algorithm for ensemble feature selection and stability assessment,1.0,49.35,2.0,13.65
117,DYVIC: DYnamic VIrus Control in Peru,4.0,21.76,3.0,20.11
118,"Use of fuzzy sets, aggregation operators and multi agent systems to simulate COVID-19 transmission in a context of absence of barrier gestures and social distancing: Application to an island region",4.0,21.05,5.0,20.67
119,"Machine Learning to Predict ICU Admission, ICU Mortality and Survivors' Length of Stay among COVID-19 Patients: Toward Optimal Allocation of ICU Resources",4.0,36.45,1.0,14.67
120,A Text Mining Approach to Discovering COVID-19 Relevant Factors,5.0,34.02,3.0,14.44
121,On the use of clinical based infection data for pandemic case studies,5.0,25.82,2.0,17.41
122,Fine-Grained Named Entity Recognition with Distant Supervision in COVID-19 Literature,5.0,38.76,1.0,18.75
123,Unsupervised Identification of SARS-CoV-2 Target Cell Groups via Nonlinear Dimensionality Reduction on Single-cell RNA-Seq Data,2.0,38.24,5.0,25.31
124,Covid-19 Signal Analysis: Effect of Lockdown and Unlockdowns on Normalized Entropy in Italy,4.0,30.41,5.0,18.87
125,A Review of Telemedicine in time of COVID-19,6.0,19.57,3.0,18.29
126,Analysis of SARS-CoV-2 sequences reveals transmission path and emergence of SD 614Gmutation.,2.0,29.25,4.0,21.39
127,Repositioning Molecules of Chinese Medicine to Targets of SARS-Cov-2 by Deep Learning Method,2.0,39.59,1.0,21.47
128,Automatic diagnosis of COVID-19 and pneumonia using FBD method,1.0,55.53,4.0,10.18
129,Artificial Intelligence Facing COVID-19 Pandemic for Decision Support in Algeria,4.0,26.34,1.0,22.2
130,A novel m-Health system for epidemic tracking and prediction using Big Data and Electronic health record,4.0,22.3,3.0,21.32
131,The COVID-19 ontology,2.0,37.06,5.0,17.09
132,Novel SARS-CoV-2 encoded small RNAs in the passage to humans,2.0,63.39,4.0,8.52
133,Mitigating IoT Security Challenges Using Blockchain,3.0,40.06,6.0,13.81
134,Using CNN-XGBoost Deep Networks for COVID-19 Detection in Chest X-ray Images,1.0,28.93,3.0,15.09
135,The COVID-19 Pandemic: What about Air Pollution?,4.0,37.33,2.0,19.37
136,Deep Learning for COVID-19 prediction,4.0,40.93,1.0,18.47
137,"SEIHCRD model for COVID-19 spread scenarios, disease predictions and estimates the basic reproduction number, case fatality rate, hospital, and ICU beds requirement",4.0,56.29,1.0,11.15
138,Predictive models for cumulative confirmed COVID-19 cases by day in Southeast Asia,4.0,55.55,5.0,9.26
139,Study of non-pharmacological interventions on covid-19 spread,4.0,46.9,2.0,11.32
140,Real-time analysis of COVID-19 pandemic on most populated countries worldwide,4.0,41.9,1.0,18.69
141,Prediction of proteins associated with covid-19 based ligand designing and molecular modeling,2.0,52.4,4.0,10.4
142,Investigation of coronavirus deposition in realistic human nasal cavity and impact of social distancing to contain COVID-19: A computational fluid dynamic approach,2.0,24.38,4.0,22.0
143,Modelling the effect of self-immunity and the impacts of asymptomatic and symptomatic individuals on COVID-19 outbreak,4.0,45.14,2.0,19.92
144,"Predicting the COVID-19 spread, recoveries and mortalities rates in Saudi Arabia using ann",4.0,30.29,1.0,20.75
145,Gravity Clustering: A Correlated Storage Location Assignment Problem Approach,3.0,26.56,5.0,16.05
146,Simulation and Evaluation of ICU Management Policies,3.0,31.55,1.0,14.72
147,Human-Infrastructure Interactional Dynamics: Simulating COVID-19 Pandemic Regime Shifts,2.0,22.51,6.0,17.06
148,Using Simple Dynamic Analytic Framework to Characterize and Forecast Epidemics,4.0,41.52,5.0,12.69
149,The Benefits of a Hybrid Simulation Hub to Deal with Pandemics,4.0,17.87,1.0,16.39
150,Impact of COVID-19 Epidemics on Bed Requirements in a Healthcare Center Using Data-Driven Discrete-Event Simulation,3.0,28.72,5.0,18.81
151,Planning Ward and Intensive Care Unit Beds for COVID-19 Patients Using a Discrete Event Simulation Model,4.0,33.5,3.0,23.59
152,Wearable Social Distancing Detection System,3.0,33.46,1.0,17.93
153,A Conceptual Framework for Designing Mobile Augmented Reality Self-Directed Learning Practical Module on Direct-On-Line Motor Control,0.0,39.19,3.0,17.49
154,Centroid-Tracking-Aided Robust Object Detection for Hospital Objects,3.0,32.53,1.0,23.91
155,Studying during Pandemic: A Review of Issues from Online Learning in the middle of COVID-19,0.0,29.19,6.0,22.5
156,Comparing Different Supervised Machine Learning Accuracy on Analyzing COVID-19 Data using ANOVA Test,1.0,47.4,5.0,12.45
157,Design of Social Media-based Virtual Tour through Personas,0.0,24.93,3.0,18.2
158,Application of Theory Planned Behavior (TPB) and Health Belief Model (HBM) in COVID-19 Prevention: A Literature Review,6.0,45.48,4.0,15.03
159,IoT based Health Monitoring Automated Predictive System to Confront COVID-19,3.0,42.43,2.0,12.46
160,A review of the prevalent ICT techniques used for COVID-19 SOP violation detection,1.0,24.59,4.0,16.24
161,A Survey of Artificial Intelligence and Internet of Things (IoT) based approaches against Covid-19,3.0,37.82,5.0,18.25
162,Fully Homomorphic Encryption based Privacy-Preserving Data Acquisition and Computation for Contact Tracing,3.0,32.03,5.0,27.93
163,Security vs. Flexibility: Striking a Balance in the Pandemic Era,6.0,28.97,3.0,19.86
164,A comparative study of clustering techniques applied on covid-19 scientific literature,5.0,27.19,6.0,15.49
165,Drug Reaction Discriminator within Encoder-Decoder Neural Network Model: COVID-19 Pandemic Case Study,1.0,23.39,5.0,19.69
166,Study the impact of COVID-19 on twitter users with respect to social isolation,5.0,29.03,6.0,16.93
167,Cone-KG: A semantic knowledge graph with news content and social context for studying covid-19 news articles on social media,5.0,42.76,6.0,17.79
168,Accuracy Improvement in Detection of COVID-19 in Chest Radiography,1.0,46.86,5.0,13.43
169,Robust Real-time Face Tracking for People Wearing Face Masks,1.0,32.85,3.0,18.68
170,Towards Enforcing Social Distancing Regulations with Occlusion-Aware Crowd Detection,1.0,32.86,5.0,16.93
171,IoT-Ready Millimeter-Wave Radar Sensors,3.0,31.31,1.0,25.49
172,Technological Solution Development during the COVID-19 Pandemic: A Case Study in an IoT Lab,0.0,26.88,3.0,19.77
173,A Hybrid Model for Medical Paper Summarization Based on COVID-19 Open Research Dataset,1.0,24.7,5.0,24.38
174,Severity Prediction of COVID-19 Patients Using Machine Learning Classification Algorithms: A Case Study of Small City in Pakistan with Minimal Health Facility,4.0,31.75,3.0,19.24
175,Face Mask Recognition System with YOLOV5 Based on Image Recognition,1.0,26.33,3.0,18.15
176,Accurate Detection of COVID-19 Using K-EfficientNet Deep Learning Image Classifier and K-COVID Chest X-Ray Images Dataset,1.0,47.44,3.0,10.28
177,A Novel Model of Supervised Clustering using Sentiment and Contextual Analysis for Fake News Detection,5.0,40.55,6.0,13.63
178,COVID-GATNet: A Deep Learning Framework for Screening of COVID-19 from Chest X-Ray Images,1.0,52.75,5.0,12.57
179,Classification of COVID-19 from Chest X-ray images using Deep Convolutional Neural Network,1.0,55.26,6.0,8.15
180,Application of Pruning Yolo-V4 with Center Loss in Mask Wearing Recognition for Gymnasiums and Sports Grounds of Colleges and Universities,1.0,26.26,3.0,16.98
181,CareBro (Personal Farm Assistant):An IoT based Smart Agriculture with Edge Computing,3.0,48.3,1.0,10.01
182,"Learning during COVID-19 pandemic: Online education community, based on discord",0.0,32.17,3.0,19.13
183,Innovation during crisis: exploring reaction of Swedish university libraries to COVID-19,6.0,38.31,0.0,27.41
184,Kuwait University faculty’s use of electronic resources during the COVID-19 pandemic,0.0,37.28,6.0,15.77
185,Document delivering services: a strategy to support research in Mexican universities in the pandemic by COVID-19,6.0,20.98,0.0,19.13
186,Silver lining of the COVID-19 crisis for digital libraries in terms of remote access,6.0,23.58,0.0,19.86
187,Building community at distance: a datathon during COVID-19,0.0,29.02,6.0,23.35
188,LibraryCraft – how the COVID-19 pandemic led to the growth of the WA libraries public Minecraft server,6.0,33.43,0.0,16.96
189,Documenting contemporary regional history: the Utah COVID-19 digital collection,6.0,29.6,0.0,21.68
190,COVID-19 and digital library services – a case study of a university library,6.0,30.9,0.0,30.6
191,The Impact of COVID-19 on Flight Networks,4.0,41.2,6.0,18.87
192,SOSNet: A Graph Convolutional Network Approach to Fine-Grained Cyberbullying Detection,1.0,32.36,5.0,21.38
193,Survey of the use of digital technologies to combat COVID-19,5.0,25.18,3.0,18.27
194,How to Control Coronavirus Conspiracy Theories in Twitter? A Systems Thinking and Social Networks Modeling Approach,5.0,21.36,6.0,18.25
195,Secure and Efficient Trajectory-Based Contact Tracing using Trusted Hardware,3.0,30.03,1.0,20.46
196,Attention-Based LSTM Network for COVID-19 Clinical Trial Parsing,1.0,31.76,2.0,19.26
197,An Investigation of Containment Measures against the COVID-19 Pandemic in Mainland China,4.0,39.3,5.0,22.83
198,Examining Deep Learning Models with Multiple Data Sources for COVID-19 Forecasting,4.0,28.23,5.0,23.11
199,Analysis and Classification of Vaccine Dialogue in the Coronavirus Era,6.0,22.41,2.0,20.98
200,The Role of the Crowd in Countering Misinformation: A Case Study of the COVID-19 Infodemic,6.0,33.59,5.0,26.87
201,Massively Parallel Processing Database for Sequence and Graph Data Structures Applied to Rapid-Response Drug Repurposing,5.0,31.0,2.0,24.21
202,Predicting the spread of Covid-19 through quantified cultural dimensions,4.0,20.93,5.0,18.58
203,Pandemic Effect: Degradation of Speech Reception Due to Medical Masks,1.0,25.89,0.0,18.2
204,Mask Mandates and COVID-19 Infection Growth Rates,4.0,34.59,6.0,14.52
205,Human-in-the-Loop Business Modelling for Emergent External Factors,6.0,27.66,5.0,15.87
206,Data Requests and Scenarios for Data Design of Unobserved Events in Corona-related Confusion Using TEEDA,5.0,38.8,3.0,12.68
207,Toward A Multilingual and Multimodal Data Repository for COVID-19 Disinformation,5.0,34.99,6.0,16.18
208,A Quantum Bayesian Approach for Bike Sharing Demand Prediction,3.0,28.21,4.0,18.92
209,Google Trends Analysis of COVID-19 Pandemic,4.0,37.2,5.0,19.85
210,Deep Learning Predicts Protein-Ligand Interactions,2.0,36.46,1.0,19.22
211,Integrated Time Series Summarization and Prediction Algorithm and its Application to COVID-19 Data Mining,4.0,31.09,1.0,23.7
212,Bag of Symbols for Time Series Distance Measurement and Applications,1.0,25.89,5.0,17.29
213,Mining Concepts for a COVID Interface Terminology for Annotation of EHRs,5.0,25.24,3.0,24.98
214,A Concern Analysis of Federal Reserve Statements: The Great Recession vs: The COVID-19 Pandemic,5.0,32.71,6.0,25.16
215,Face Off: Polarized Public Opinions on Personal Face Mask Usage during the COVID-19 Pandemic,5.0,33.46,1.0,15.69
216,Preventing litigation with a predictive model of COVID-19 ICUs occupancy,3.0,25.19,4.0,23.98
217,Generating Realistic COVID-19 x-rays with a Mean Teacher + Transfer Learning GAN,1.0,46.78,5.0,16.05
218,Actionable Knowledge Extraction Framework for COVID-19,5.0,34.19,1.0,15.25
219,"Stratification of, albeit Mathematical Optimization and Artificial Intelligent (AI) Driven, High-Risk Elderly Outpatients for priority house call visits - A framework to transform healthcare services from reactive to preventive",3.0,41.7,5.0,12.54
220,Using a Three-step Social Media Similarity (TSMS) Mapping Method to Analyze Controversial Speech Relating to COVID-19 in Twitter Collections,5.0,36.21,6.0,17.73
221,A Deep Recurrent Neural Network to Support Guidelines and Decision Making of Social Distancing,4.0,30.9,6.0,19.12
222,Item-Based Collaborative Filtering and Association Rules for a Baseline Recommender in E-Commerce,5.0,35.81,6.0,19.94
223,A Machine Learning Based Modeling of the Cytokine Storm as it Relates to COVID-19 Using a Virtual Clinical Semantic Network (vCSN),2.0,19.9,5.0,18.54
224,R-LSTM: Time Series Forecasting for COVID-19 Confirmed Cases with LSTMbased Framework,4.0,37.33,1.0,23.65
225,"Data Science, COVID-19 Pandemic, Privacy and Civil Liberties",3.0,24.24,6.0,19.04
226,Leveraging Natural Language Processing to Mine Issues on Twitter during the COVID-19 Pandemic,5.0,32.68,6.0,17.89
227,Graph Neural Networks for COVID-19 Drug Discovery,2.0,31.9,1.0,19.5
228,Visualizing Effects of COVID-19 Social Isolation with Residential Activity Big Data Sensor Data,5.0,28.06,3.0,15.95
229,Describing and Predicting COVID19 Evolution Using Pandemic Equation,4.0,31.37,1.0,14.8
230,Stock Price Prediction under Anomalous Circumstances,6.0,27.48,4.0,24.38
231,Country-wide Mobility Changes Observed Using Mobile Phone Data during COVID-19 Pandemic,4.0,20.04,6.0,19.49
232,From 5Vs to 6Cs: Operationalizing Epidemic Data Management with COVID-19 Surveillance,5.0,32.18,3.0,17.91
233,Toward Interpretable Machine Learning for Understanding Epidemic Data,6.0,20.13,1.0,17.95
234,Learning with Missing Data,5.0,33.34,1.0,22.84
235,An Unsupervised Misinformation Detection Framework to Analyze the Users using COVID-19 Twitter Data,5.0,46.65,1.0,14.33
236,Factors Influencing Human Mobility during the COVID-19 Pandemic in Selected Countries of Europe and North America,4.0,34.33,6.0,18.48
237,"Understanding the Effect of COVID-19 on Fuel Consumption of Public Transportation: The Case Study of Chattanooga, TN",6.0,22.31,3.0,17.85
238,DeepSEAS: Smartphone-based Early Ailment Sensing Using Coupled LSTM AutoEncoders,3.0,24.34,1.0,17.27
239,Machine Learning and OLAP on Big COVID-19 Data,5.0,53.44,4.0,11.73
240,Transfer learning for decision support in Covid-19 detection from a few images in big data,1.0,38.72,5.0,18.21
241,Role of artificial intelligence in fighting against covid-19,3.0,27.61,5.0,16.1
242,"Innovative, Integrated and Interactive (3I) LMS for Learners and Trainers",0.0,33.78,3.0,15.53
243,Evaluating optimal lockdown and testing strategies for COVID-19 using multi-agent social simulation,4.0,29.63,6.0,15.06
244,Healthcare Applications of 3D Printing in Human Implants: A Review,3.0,34.82,6.0,14.99
245,A new COVID-19 medical image steganography based on dual encrypted data insertion into minimum mean intensity window of LSB of X-ray scans,1.0,28.14,5.0,22.49
246,Wearable system for Real-time Remote Monitoring of Respiratory Rate during Covid-19 using Fiber Bragg Grating,3.0,24.61,2.0,22.25
247,Tunicate Swarm-Based Black Hole Entropic Fuzzy Clustering for Data Clustering using COVID Data,1.0,29.45,5.0,28.87
248,Covid-19 Data Visualization and Data Analytics with a Smart Standalone Mobile Application,5.0,35.28,3.0,16.41
249,Tonsillitis based Early Diagnosis of COVID-19 for Mass-Screening using One-Shot Learning Framework,1.0,35.67,3.0,15.0
250,Detection and Spread Prediction of COVID-19 from Chest X-ray Images using Convolutional Neural Network-Gaussian Mixture Model,1.0,45.55,4.0,22.6
251,Twitter sentiment analysis using deep learning models,5.0,30.92,1.0,25.58
252,How Successful is a Lockdown during a Pandemic,4.0,33.45,6.0,18.69
253,"Covid-19 Face Mask Detection Using TensorFlow, Keras and OpenCV",1.0,40.83,3.0,12.19
254,IoT Based Non-Contact Portable Thermal Scanner for COVID Patient Screening,3.0,26.98,4.0,17.48
255,Effect of Climatic Conditions on Gender Segregated COVID-19 Infections and Fatalities,4.0,24.28,6.0,15.67
256,Prediction of number of fatalities due to Covid-19 using Machine Learning,4.0,31.87,2.0,14.47
257,A Novel Covid Prevention Method Using Deep Learning,1.0,21.09,3.0,16.13
258,EPIC30M: An Epidemics Corpus of over 30 Million Relevant Tweets,5.0,33.17,4.0,18.37
259,The Multimodal Deep Learning for Diagnosing COVID-19 Pneumonia from Chest CT-Scan and X-Ray Images,1.0,64.15,5.0,7.28
